State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
manipur,tamenglong,23982.0,13573.812,2014.4880000000005,15924.048,4119.0,2253.0930000000003,428.376,3983.073
manipur,churachandpur,52972.0,28392.992,1218.356,43595.956,4853.0,2547.825,111.619,4794.763999999999
manipur,bishnupur,34977.0,12137.019000000002,2063.643,31864.047,21172.0,6372.772000000001,868.052,19986.368
manipur,thoubal,65961.0,22096.935,3627.855,60486.237,38302.0,10264.936,1991.704,36042.182
manipur,imphal west,51055.0,16899.205,2705.915,46970.6,85746.0,26152.53,3772.824,82916.382
manipur,imphal east,64421.0,23449.244,2963.366,58558.689000000006,46520.0,14653.8,1488.64,44426.6
manipur,ukhrul,36084.0,25403.136,1876.368,29011.536,5806.0,3274.584,243.852,5579.566
manipur,chandel,30377.0,17740.168,1245.457,23420.667,3783.0,1539.681,590.1479999999999,3665.727
mizoram,mamit,16726.0,8312.822,986.834,13899.306,4129.0,883.6059999999999,41.29,4075.323
mizoram,kolasib,9669.0,4554.099,212.718,9253.233,12507.0,4815.195,300.168,12081.762
mizoram,aizawl,20570.0,7117.22,349.69,20035.180000000004,80341.0,13336.606000000002,562.387,79778.613
mizoram,champhai,18395.0,8866.39,882.96,17456.855,12717.0,5646.347999999999,190.755,12386.358
mizoram,serchhip,7472.0,3885.44,463.264,7203.008000000001,8018.0,3736.388,769.7280000000001,7969.892000000001
mizoram,lunglei,21479.0,10696.542,837.6809999999999,17290.595,17315.0,4640.42,138.52,16830.18
mizoram,lawngtlai,21993.0,10930.521,1143.636,13305.765,5273.0,1824.458,84.36800000000001,5183.359
mizoram,saiha,7043.0,2281.932,366.236,6127.41,5784.0,1660.0079999999998,133.03199999999998,5645.184
tripura,west tripura,289621.0,119903.094,11584.84,246757.092,217016.0,69879.152,7812.576,212892.696
tripura,south tripura,219171.0,94024.359,9862.695,181035.246,44906.0,12304.244,1616.616,44007.88
tripura,dhalai,89457.0,42492.075,6440.904,59399.448,14071.0,5628.4,1266.39,13564.444
tripura,north tripura,150437.0,72811.508,12486.271,122606.155,42184.0,14511.295999999998,2995.064,40918.48
meghalaya,west garo hills,139351.0,68281.99,7664.305,78454.613,18594.0,6340.554,1171.422,17459.766
meghalaya,east garo hills,62698.0,30659.322,2257.128,49719.514,11518.0,4872.114,138.216,11137.906
meghalaya,south garo hills,35930.0,18396.16,1437.2,22779.62,3713.0,1555.7469999999998,100.251,3245.1620000000003
meghalaya,west khasi hills,74832.0,41980.752,6884.543999999999,30531.455999999995,12299.0,5755.932,565.7539999999999,11130.595
meghalaya,ribhoi,57988.0,31255.532,3421.292,37170.308,5736.0,1955.976,177.81600000000003,5242.704000000001
meghalaya,east khasi hills,106248.0,56205.192,9881.064,47067.864,108843.0,25578.105,2285.703,105468.867
meghalaya,jaintia hills,76546.0,35517.344,6429.8640000000005,33374.056000000004,7171.0,1003.94,150.591,6891.331
assam,kokrajhar,204896.0,112692.8,26636.48,51019.10399999999,17115.0,4244.52,804.405,15420.615
assam,dhubri,460602.0,295706.484,81065.952,179634.78,60417.0,24045.966,7370.873999999999,48394.01699999999
assam,goalpara,228610.0,138080.44,28804.86,141966.81,39504.0,18329.856,3160.32,33578.4
assam,barpeta,447189.0,282623.44800000003,84071.532,312137.922,52192.0,17640.895999999997,3862.208000000001,48434.176
assam,morigaon,232206.0,145128.75,34366.488000000005,132821.83200000002,25275.0,10817.7,2325.3,22823.325
assam,nagaon,674999.0,400274.407,93149.862,485999.28,124186.0,54269.282,7326.974,118225.072
assam,sonitpur,483325.0,280811.825,49299.15,265828.75,64528.0,20778.016,2903.76,61301.6
assam,lakhimpur,293239.0,190018.872,28444.183,157469.343,34694.0,13079.638,1908.17,32855.218
assam,dhemaji,211758.0,140183.796,21175.8,85338.47399999999,16504.0,7971.432,1188.288,15777.824
assam,tinsukia,290704.0,162794.24,14535.2,224714.192,90910.0,33727.61,4545.5,85909.95
assam,dibrugarh,299852.0,162519.784,17091.564000000002,222490.184,77163.0,22917.411,3163.683,74385.132
assam,sivasagar,360182.0,217189.746,21971.102,258970.858,45047.0,16397.108,1756.833,41983.804
assam,jorhat,286330.0,174374.97,23192.73,168648.37,80824.0,28530.872,3232.96,76136.208
assam,golaghat,292893.0,187451.52,23138.547,190673.343,34190.0,13231.53,1435.98,33403.63
assam,karbi anglong,215691.0,140414.841,9274.713,104610.135,37185.0,19336.2,1338.66,35139.825
assam,dima hasao,37610.0,23468.64,1692.45,21475.31,21309.0,9631.668,703.197,20584.494
assam,cachar,346227.0,197003.163,42239.694,268672.152,88933.0,33083.076,5424.913,85197.814
assam,karimganj,261945.0,150880.32,39029.805,219247.965,32695.0,11802.895,2844.465,31844.93
assam,hailakandi,159215.0,94732.925,26748.12,130397.085,16202.0,4941.61,1231.352,15894.162
assam,bongaigaon,181923.0,116976.489,22740.375,89506.116,38470.0,11156.3,1654.21,35238.52
assam,chirang,129018.0,74185.35,14062.962,30964.32,11613.0,4587.135,1718.724,9859.437
assam,kamrup,390596.0,230842.236,48043.308,222639.72,43849.0,19775.899,3727.165,34509.163
assam,kamrup metropolitan,61334.0,32139.016,6194.734,39683.098000000005,366858.0,100152.234,14307.462,355852.26
assam,nalbari,210706.0,128530.66,20017.07,134219.722,28238.0,12227.053999999998,2400.23,25442.438
assam,baksa,291641.0,187525.163,32663.792,112865.067,3580.0,1904.56,268.5,3368.78
assam,darrang,268517.0,154665.79200000002,47796.026000000005,127814.092,20189.0,6945.016,1736.254,18533.502
assam,udalguri,267790.0,160406.21,28653.53,111132.85,13835.0,4883.754999999999,996.12,12423.83
west bengal,darjiling,303284.0,164379.928,24262.72,158617.532,215675.0,68368.975,11430.775,187637.25
west bengal,jalpaiguri,798378.0,461462.484,127740.48,296198.238,319426.0,118826.472,33539.73,262887.598
west bengal,koch bihar,803407.0,463565.839,101229.282,447497.6990000001,97331.0,32995.209,7689.149,87889.89299999998
west bengal,uttar dinajpur,683981.0,396024.999,84813.644,140900.086,94269.0,37707.6,13763.274,75980.814
west bengal,dakshin dinajpur,390949.0,225186.624,46522.931,107510.975,70077.0,24036.411,6517.161000000001,64190.53199999999
west bengal,maldah,830318.0,489887.62,93825.934,210900.772,128678.0,62408.83,10680.274,95607.754
west bengal,murshidabad,1501066.0,842098.0260000001,255181.22,520869.902,350899.0,170186.015,40704.284,216855.582
west bengal,birbhum,831044.0,432142.88,129642.864,155405.228,134565.0,50192.745,12514.545,82892.04
west bengal,barddhaman,1364868.0,707001.624,128297.592,629204.148,862368.0,329424.576,54329.184,616593.12
west bengal,nadia,1081381.0,582864.3589999999,168695.436,771024.6529999999,468390.0,192976.68,49649.34,437007.87
west bengal,north twenty four parganas,1209337.0,559923.031,238239.389,954166.8930000002,1649803.0,551034.2019999999,89089.36200000001,1550814.82
west bengal,hugli,992085.0,451398.675,116073.945,596243.085,647953.0,218360.161,34341.509,575382.264
west bengal,bankura,900515.0,471869.86,105360.255,148584.975,90885.0,35263.38,8088.765,54894.54
west bengal,puruliya,653219.0,409568.313,48338.206000000006,39846.359,99433.0,43253.355,6662.011,50611.397
west bengal,haora,483384.0,195287.136,67190.376,290997.168,869313.0,305998.17600000004,56505.345,725876.355
west bengal,south twenty four parganas,1568802.0,782832.198,254145.924,862841.1,611430.0,235400.55,49525.83,508098.33
west bengal,paschim medinipur,1364335.0,712182.87,180092.22,571656.365,201048.0,65943.74399999999,16686.984,155209.056
west bengal,purba medinipur,1193006.0,584572.94,215934.086,1021213.136,170707.0,59406.03599999999,17241.407,141345.396
jharkhand,garhwa,272872.0,170272.128,12552.112,13370.728,19180.0,8535.1,1304.24,8880.34
jharkhand,chatra,200974.0,115560.05,9043.83,13264.284,14528.0,6740.991999999999,595.6479999999999,9544.896
jharkhand,kodarma,116714.0,61041.42199999999,4901.988,8870.264,34771.0,15542.637000000002,1877.634,17489.813
jharkhand,giridih,452564.0,242574.30400000003,14029.484000000002,26248.712,46886.0,17347.82,1594.124,28741.118
jharkhand,deoghar,257373.0,155968.038,13126.022999999996,14155.515,64337.0,24062.038,2702.1540000000005,43942.171
jharkhand,godda,276454.0,173336.658,25433.768,21839.866,15576.0,5731.967999999999,654.192,10108.824
jharkhand,sahibganj,223450.0,145465.94999999998,16311.85,20557.4,37543.0,17457.495,2928.354,20385.849
jharkhand,pakur,200588.0,120152.212,14241.747999999998,14642.924,16587.0,7746.129,945.459,7712.955
jharkhand,dhanbad,258764.0,135074.80800000002,12161.908,31569.208,405455.0,180427.475,15812.745,240434.815
jharkhand,bokaro,250312.0,125906.936,10262.792,16520.592,258452.0,94851.884,8270.464,162049.404
jharkhand,lohardaga,96759.0,60474.375,2709.252,7063.406999999999,14725.0,5330.45,647.9000000000001,10381.125
jharkhand,purbi singhbhum,262537.0,133893.87,15227.146,35705.032,342126.0,88268.508,7868.897999999999,276095.682
jharkhand,palamu,355529.0,223272.212,22398.327,26309.146,52375.0,21002.375,2828.25,30534.625
jharkhand,latehar,146377.0,84898.66,3220.2940000000003,10539.144000000002,14137.0,5739.622,706.85,7888.446
jharkhand,hazaribagh,312983.0,151796.755,10328.438999999998,29107.419000000005,68765.0,22761.215,2062.95,50542.275
jharkhand,ramgarh,134067.0,67167.567,5094.545999999999,14747.37,118558.0,47186.084,4268.088,71134.8
jharkhand,dumka,303697.0,194062.383,18221.82,18829.214,23281.0,7799.135,1164.05,14946.402
jharkhand,jamtara,165555.0,103637.43,8112.1950000000015,7284.420000000001,20113.0,6737.855,663.7289999999999,12087.913
jharkhand,ranchi,420740.0,231407.0,12622.2,55537.68,310242.0,98656.956,12719.922,245401.422
jharkhand,khunti,,,,,,,,
jharkhand,gumla,216629.0,137126.157,6282.241,13864.256,16445.0,6314.88,822.25,11264.825
jharkhand,simdega,144169.0,85924.724,4180.901,7064.281000000001,11114.0,4445.6,444.56,5934.876
jharkhand,pashchimi singhbhum,336928.0,171496.35199999998,13477.12,12466.336,63396.0,23773.5,2852.82,37340.244
jharkhand,saraikela-kharsawan,217248.0,116227.68,7820.928000000001,13903.872,68439.0,25048.674,2326.926,44143.155
orissa,bargarh,411566.0,275337.65400000004,34983.11,50622.61800000001,47395.0,22133.465,2227.565,25688.09
orissa,jharsuguda,103224.0,73805.16,6090.216000000001,9703.056,73962.0,33652.71,4141.871999999999,39643.632000000005
orissa,sambalpur,220697.0,153825.809,17214.365999999998,18979.942,94798.0,39056.776,4929.496,56404.81
orissa,debagarh,91408.0,68556.0,12248.672,5393.072000000001,7350.0,4579.05,404.25,3770.55
orissa,sundargarh,387911.0,294424.449,22498.838,32584.524,230151.0,107940.819,10126.644000000002,150748.905
orissa,kendujhar,490634.0,343443.8,42194.524,45628.962,83664.0,40828.032,6442.128000000001,42501.312000000005
orissa,mayurbhanj,689110.0,499604.75,59263.46,103366.5,64479.0,28241.802,5222.799,41266.56
orissa,baleshwar,601154.0,373316.634,69733.864,136461.95799999998,82440.0,34789.68000000001,5935.68,56059.2
orissa,bhadrak,373862.0,240393.266,33273.718,59817.92,54244.0,28586.588000000003,4014.056000000001,28098.392
orissa,kendrapara,414749.0,236406.93,31106.175,65530.342,23494.0,10478.324,2067.472,13579.532
orissa,jagatsinghapur,309685.0,177449.505,21987.635,68440.385,43047.0,24622.884,1592.739,19285.056
orissa,cuttack,579529.0,318740.95,58532.429,129814.496,210768.0,77141.088,13489.152000000002,164399.04
orissa,jajapur,495611.0,286463.158,72359.20599999999,98626.58899999998,45528.0,19531.512,3186.96,27863.136
orissa,dhenkanal,315390.0,206580.45,36269.85,44785.38,36979.0,15457.222,2810.4039999999995,22113.441999999995
orissa,anugul,340410.0,219224.04000000004,40849.2,56848.47,74177.0,28780.676,4895.682,47473.28
orissa,nayagarh,261646.0,168238.378,31920.812,41601.714,26688.0,12943.68,2028.288,14891.904
orissa,khordha,331834.0,207064.416,28205.89,60725.622,356895.0,130623.57,18201.645,273381.56999999995
orissa,puri,402014.0,257690.974,45025.568,62714.184,72210.0,33505.44,4188.18,52929.93
orissa,ganjam,795476.0,490013.216,75570.22,151935.91600000003,219918.0,87747.28199999999,11435.736,143606.454
orissa,gajapati,152095.0,101903.65,8973.605,19316.065,23050.0,9381.35,1152.5,13069.35
orissa,kandhamal,218446.0,150290.848,14417.435999999998,13762.098,24489.0,11387.385,1567.296,13836.285
orissa,baudh,131377.0,98664.127,6174.719,11823.93,6577.0,3689.697,355.158,3374.001
orissa,subarnapur,176927.0,130925.98,12738.744,13977.233,16575.0,10177.05,961.35,6464.25
orissa,balangir,476770.0,327064.22,33373.9,48153.77,62192.0,29168.048,4229.056,36133.552
orissa,nuapada,197258.0,143801.08200000002,9468.383999999998,25051.766,11869.0,6254.963000000001,771.485,5744.596
orissa,kalahandi,456336.0,320804.208,42895.584,37419.552,38412.0,18360.936,2650.428,22586.256
orissa,rayagada,237343.0,165428.07100000005,13528.551,15664.638,49205.0,17615.39,2115.815,29769.025
orissa,nabarangapur,342840.0,237588.12,15084.960000000005,19884.72,29424.0,15123.935999999998,1441.776,15712.416
orissa,koraput,381789.0,250835.373,20234.817,31306.698,78339.0,30473.871,4386.984,50842.011000000006
orissa,malkangiri,167884.0,112985.932,12423.416,10073.04,15839.0,7238.423000000001,1330.476,7555.203
chhattisgarh,koriya,121852.0,61535.26,2680.744,10357.42,59763.0,22411.125,776.9190000000001,35439.459
chhattisgarh,surguja,,,,,65167.0,19159.098,1042.672,39947.371
chhattisgarh,jashpur,,,,,20722.0,7832.916,248.664,8744.684000000001
chhattisgarh,raigarh,354278.0,203355.572,17005.343999999997,46056.14,66638.0,25189.164,1999.14,38183.574
chhattisgarh,korba,206598.0,112389.312,6611.136000000001,24585.162,126055.0,37438.335,2016.88,73868.23
chhattisgarh,janjgir - champa,379583.0,223953.97,21256.648,41754.13,61190.0,26801.22,2325.22,27168.36
chhattisgarh,bilaspur,549632.0,324832.512,28580.864,91238.912,188174.0,67930.814,5833.394,123630.318
chhattisgarh,kabeerdham,187311.0,114072.399,11613.282,16857.99,23868.0,8759.556,1217.2679999999998,11814.66
chhattisgarh,rajnandgaon,313604.0,149589.108,10662.535999999998,58016.74,76528.0,25101.184,1913.2,40712.896
chhattisgarh,durg,533448.0,279526.752,26672.4,74682.72,349741.0,103523.336,7694.302000000001,218937.866
chhattisgarh,raipur,673499.0,383894.43,39736.441,86881.371,395001.0,118895.30100000002,11455.029,256750.65
chhattisgarh,mahasamund,274793.0,164875.8,12640.477999999996,41768.53599999999,35774.0,14738.888,1466.734,17922.774
chhattisgarh,dhamtari,168689.0,92947.639,7084.938,40822.738,41792.0,16382.464000000002,1462.72,22400.512
chhattisgarh,uttar bastar kanker,169191.0,78673.815,5075.73,25040.268000000004,24878.0,9403.883999999998,796.096,15150.702
chhattisgarh,bastar,316425.0,165173.85,10758.45,43983.075,54894.0,19432.476,1591.9260000000002,33485.34
chhattisgarh,narayanpur,26916.0,15503.616000000002,1184.304,1103.5559999999998,6179.0,3416.987,135.93800000000002,2731.1180000000004
chhattisgarh,dakshin bastar dantewada,106545.0,53379.045,3409.44,7671.24,31304.0,11050.312,907.816,15589.392
chhattisgarh,bijapur,50449.0,28503.685,2118.858,1362.1230000000005,7942.0,4860.504,246.202,2231.702
madhya pradesh,sheopur,150146.0,90688.184,7957.737999999999,8708.467999999999,26376.0,10708.656,844.0320000000002,15087.072000000002
madhya pradesh,morena,319298.0,170824.43,16603.496,21392.966,95288.0,34017.816,2001.048,70322.544
madhya pradesh,bhind,271211.0,139944.876,12475.705999999998,25222.623000000003,88385.0,35972.69500000001,2209.625,59483.105
madhya pradesh,gwalior,172720.0,83078.32,7772.4,29880.56,272172.0,73214.268,5443.44,236789.64
madhya pradesh,datia,160453.0,74931.551,4332.231000000001,18131.189,43401.0,15103.548,1302.03,27386.031000000003
madhya pradesh,shivpuri,367859.0,199747.437,15450.078,20600.104,66759.0,21029.085,1869.252,43860.663
madhya pradesh,tikamgarh,322772.0,144279.084,9360.388,12588.108,60220.0,19812.38,1625.94,27219.44
madhya pradesh,chhatarpur,375869.0,169892.788,9772.594,19545.188,95048.0,27658.968000000004,1520.7680000000005,55032.792
madhya pradesh,panna,256744.0,121953.4,7702.32,12837.2,32179.0,11584.44,740.117,17312.302
madhya pradesh,sagar,448408.0,231378.528,21075.176,50221.696,165507.0,53127.747,4137.675,107083.029
madhya pradesh,damoh,303387.0,164132.367,15169.35,17899.833,66514.0,22681.274,1928.906,37380.868
madhya pradesh,satna,461831.0,181037.75200000004,10160.282,105297.468,114173.0,26716.482,2625.979,69074.665
madhya pradesh,rewa,523910.0,181796.77,11002.11,93255.98,94489.0,20598.602,2267.736,56220.955
madhya pradesh,umaria,138100.0,65183.2,5800.2,8009.8,29966.0,8480.378,629.2860000000001,16541.232000000004
madhya pradesh,neemuch,174235.0,80670.805,4878.579999999999,22999.02,67962.0,18757.512,951.4679999999998,43223.832
madhya pradesh,mandsaur,302287.0,150236.639,6952.601,40204.171,81832.0,24140.44,1391.144,55809.424000000006
madhya pradesh,ratlam,266716.0,153895.132,9335.06,35739.944,107151.0,29466.525,1500.114,88721.02799999999
madhya pradesh,ujjain,300765.0,165119.985,11429.07,53836.935,188684.0,56793.884000000005,3584.996,157739.824
madhya pradesh,shajapur,312611.0,177250.437,13754.884000000002,41889.874,73997.0,23753.037,1775.928,49355.999
madhya pradesh,dewas,274995.0,134747.55,17049.69,59673.915,101014.0,30809.27,2626.364,78083.82199999999
madhya pradesh,dhar,412348.0,232976.62,19380.356,79170.81599999999,103364.0,31732.748,3100.92,78970.096
madhya pradesh,indore,200371.0,82953.594,9217.066,83153.965,587947.0,136991.65099999998,15874.569,530916.1410000001
madhya pradesh,khargone (west nimar),383543.0,218235.967,24163.209,49860.59,76620.0,22602.9,2451.84,56545.56
madhya pradesh,barwani,250358.0,150715.516,13018.616000000002,25786.874000000003,48912.0,18293.088,2005.392,32330.832
madhya pradesh,rajgarh,331894.0,200463.976,21573.11,25887.732,69823.0,24926.811,2234.336,42592.03
madhya pradesh,vidisha,292579.0,132245.708,8777.37,33646.585,83830.0,25651.98,1760.43,59938.45
madhya pradesh,bhopal,118893.0,55404.138,5112.398999999999,25561.995,581826.0,175129.62600000002,15127.476,488152.0140000001
madhya pradesh,sehore,270427.0,117906.172,17848.182,58682.65899999999,59220.0,18535.86,1480.5,46843.02
madhya pradesh,raisen,251272.0,116590.20799999998,18091.584000000003,46485.32,74441.0,27096.524,2977.64,53597.52
madhya pradesh,betul,318945.0,145438.92,15309.36,41143.905,87704.0,26574.312,2631.12,62796.06399999999
madhya pradesh,harda,112714.0,47565.308000000005,8678.978000000001,43169.46199999999,31845.0,8438.925,1401.18,25253.085
madhya pradesh,hoshangabad,209650.0,92036.35,21384.3,70861.7,105746.0,30349.102,3595.364,85231.276
madhya pradesh,katni,276151.0,128410.215,12150.644000000002,23748.986,72880.0,20843.68,1749.12,47955.04
madhya pradesh,jabalpur,272284.0,125795.208,15520.188,72972.11200000001,352477.0,103628.23799999998,10221.833,282686.554
madhya pradesh,narsimhapur,230659.0,112792.251,22604.582,63431.225,53059.0,17880.883,3130.481,38096.362
madhya pradesh,dindori,218021.0,111626.752,5886.567000000001,8066.777000000001,9774.0,3684.7980000000007,537.57,5405.022
madhya pradesh,mandla,279674.0,120819.168,12025.982,18738.158,37258.0,10655.788,1490.32,24254.958
madhya pradesh,chhindwara,413142.0,207810.426,21070.242,50816.46600000001,140802.0,47168.67,5209.674,93351.726
madhya pradesh,seoni,335045.0,151105.295,16417.205,50926.84,47542.0,13169.133999999998,1663.97,35133.538
madhya pradesh,balaghat,400074.0,153228.342,21603.996,46808.658,70793.0,20813.142,2406.962,44670.383
madhya pradesh,guna,212765.0,104680.38,6170.185,15744.61,72320.0,24299.52,2386.56,43102.72
madhya pradesh,ashoknagar,169606.0,74626.64,4579.362,11872.42,37135.0,14037.03,631.295,20907.005
madhya pradesh,shahdol,233594.0,103248.548,6774.226,17753.144,57846.0,16891.032,1561.842,36847.902
madhya pradesh,anuppur,,,,,,,,
madhya pradesh,sidhi,250953.0,95864.04600000002,4768.107,10289.073,25916.0,6945.488,388.74,12698.84
madhya pradesh,singrauli,228732.0,101557.008,4345.907999999999,5032.104,58593.0,15878.703,1523.418,30526.953
madhya pradesh,jhabua,211080.0,132136.08,10765.08,12242.64,24713.0,6301.815,444.834,18979.584
madhya pradesh,alirajpur,135866.0,84372.786,5434.64,6793.3,14662.0,4369.276000000001,381.2120000000001,11040.486
madhya pradesh,khandwa (east nimar),265663.0,139207.41199999998,21253.04,46225.362,63425.0,19725.175,2790.7,43953.525
madhya pradesh,burhanpur,115979.0,56133.836,7422.656000000001,21456.115,62861.0,26213.037,2451.579,43122.64599999999
gujarat,kachchh,488293.0,124026.422,5371.223000000001,240240.156,250982.0,53710.148,2509.82,220613.178
gujarat,banas kantha,666773.0,258707.924,26670.92,114018.183,137424.0,32706.912,2061.36,107190.72
gujarat,patan,301483.0,112453.159,11456.354,108232.397,102655.0,26177.025,1539.825,84587.72
gujarat,mahesana,476005.0,156129.63999999998,12376.13,211346.22,183738.0,40054.884,2388.594,156177.3
gujarat,sabar kantha,544024.0,223593.86400000003,11424.504,169191.46400000004,121509.0,32928.939000000006,1944.144,93197.403
gujarat,gandhinagar,237624.0,86970.384,5465.352,101703.072,195634.0,47734.696,2543.242,158072.272
gujarat,ahmadabad,353169.0,143033.445,7063.38,116192.601,1845383.0,441046.537,11072.298,1699597.7429999998
gujarat,surendranagar,340788.0,124046.832,7838.123999999999,70883.90400000001,159810.0,38034.78,2237.34,111867.0
gujarat,rajkot,459474.0,130490.616,6892.11,202168.56,721532.0,158015.508,7936.852000000001,624125.18
gujarat,jamnagar,347158.0,104494.558,5554.528,120810.98399999998,299167.0,68808.41,2991.67,250701.946
gujarat,porbandar,96015.0,29188.56,2208.345,37541.865,87557.0,21539.022,1138.241,67769.118
gujarat,junagadh,489237.0,159980.499,8317.029,225049.02,287506.0,68713.934,4025.084,246392.642
gujarat,amreli,313714.0,90663.346,5333.137999999999,163444.994,116899.0,28874.053,1168.99,91648.81600000002
gujarat,bhavnagar,387251.0,128567.332,5808.765,124307.571,356826.0,91704.282,3925.086,291170.016
gujarat,anand,413078.0,170601.21399999998,8674.638,170601.21399999998,208909.0,54525.249,2715.817,173394.47
gujarat,kheda,461479.0,194744.138,11536.975,117215.666,160547.0,40136.75,2408.205,126029.395
gujarat,panch mahals,463363.0,233534.952,12047.438,78771.71,104238.0,25434.072,1146.618,87664.158
gujarat,dohad,323697.0,192599.715,6797.637000000001,19745.517,52807.0,12462.452,580.8770000000001,37915.426
gujarat,vadodara,547454.0,251828.84,10949.08,156024.39,692971.0,137901.229,5543.768,636840.349
gujarat,narmada,138121.0,60635.11899999999,1795.573,22099.36,22248.0,7497.576000000001,422.712,16619.256
gujarat,bharuch,300677.0,114858.614,4510.155,137710.066,181319.0,36626.438,1087.914,162099.18600000002
gujarat,the dangs,52102.0,18913.026,573.1220000000001,13181.806,7516.0,2014.288,52.612,4344.248
gujarat,navsari,267739.0,92369.955,3748.346,119143.855,141417.0,28283.4,1272.753,121194.369
gujarat,valsad,262410.0,104176.77,3411.33,72425.16,235981.0,58051.32600000001,2123.829,179345.56
gujarat,surat,369840.0,114280.56,4438.08,184550.16,1529998.0,302939.60400000005,7649.99,1435138.124
gujarat,tapi,192272.0,69794.73599999999,1922.72,44222.56,26217.0,7812.666,209.736,20318.175
daman and diu,diu,9788.0,1243.076,29.364,4238.204,9062.0,969.634,18.124,6769.314
daman and diu,daman,10006.0,2641.584,90.054,5733.437999999999,61073.0,22658.083,366.43799999999993,53011.364
dadra and nagar haveli,dadra and nagar haveli,48221.0,21940.555,385.768,12778.565,60562.0,12596.896,121.124,49236.906
maharashtra,nandurbar,333440.0,163052.16,13004.16,74357.12,71572.0,20899.024,2361.876,45448.22
maharashtra,dhule,382777.0,143158.598,13014.418,71579.299,146013.0,33144.951,2336.208,95346.489
maharashtra,jalgaon,796223.0,309730.747,43792.265,179946.39800000002,373565.0,101236.115,6350.605,242443.68500000003
maharashtra,buldana,575405.0,269864.945,38552.135,167442.855,152787.0,52558.728,5347.545,93047.283
maharashtra,akola,308158.0,146375.05,21879.218,95220.822,196077.0,66274.026,7254.849,141763.671
maharashtra,washim,274925.0,127290.275,18419.975,75604.375,55921.0,19963.797,1453.946,37634.833
maharashtra,amravati,508921.0,226978.766,33588.78599999999,209166.531,272894.0,85415.82200000001,7913.925999999999,214494.684
maharashtra,wardha,268486.0,117328.382,25506.17,126725.392,120218.0,28852.32,4448.066000000001,94250.912
maharashtra,nagpur,430844.0,168029.16,35760.052,198619.08400000003,877522.0,207972.714,24570.615999999995,789769.8
maharashtra,bhandara,283843.0,123755.548,22991.283,158384.39399999997,72575.0,18143.75,2467.55,61180.725
maharashtra,gondiya,319702.0,128839.906,16624.504,151858.45,66813.0,18039.51,2204.829,51646.44899999999
maharashtra,gadchiroli,293586.0,125067.636,25541.982,65176.092,37254.0,10058.58,1490.16,24550.386
maharashtra,chandrapur,451324.0,186396.812,50548.288,131335.284,233331.0,58799.412,7933.254,167298.32700000002
maharashtra,yavatmal,629243.0,295114.967,50968.683,137174.97400000002,168889.0,49484.477,6586.670999999999,115182.298
maharashtra,nanded,591119.0,302652.928,46107.282,113494.84799999998,230563.0,80697.05,9222.52,168772.116
maharashtra,hingoli,242456.0,113226.952,14547.36,65220.664,41913.0,16220.331,1299.303,27536.841
maharashtra,parbhani,293480.0,138816.04,24358.84,39032.84,133759.0,47885.722,5885.396000000001,89484.77100000001
maharashtra,jalna,404746.0,165945.86,27927.474,118185.832,98084.0,35800.66,3040.6040000000003,68854.968
maharashtra,aurangabad,551789.0,219060.233,44143.12,109254.222,427343.0,96579.518,5982.802,373497.782
maharashtra,nashik,904661.0,312108.045,50661.016,265065.673,764271.0,185717.853,19106.775,528111.2609999999
maharashtra,thane,713994.0,262749.792,41411.652,283455.618,2904157.0,630202.069,31945.727000000003,2163596.965
maharashtra,raigarh,581868.0,164668.644,20947.248,296170.812,377160.0,66757.32,4148.76,305499.6
maharashtra,pune,1165718.0,278606.602,57120.182,720413.7239999999,2056739.0,429858.451,26737.607000000004,1655674.895
maharashtra,ahmadnagar,1041393.0,318666.25800000003,77063.082,407184.66300000006,282011.0,65144.541000000005,7050.275,207560.096
maharashtra,bid,563114.0,230876.74,45049.12,86719.556,135457.0,41720.756,3928.253,93600.787
maharashtra,latur,428616.0,171875.016,24431.112,106296.768,157016.0,48046.89600000001,4082.416,122315.464
maharashtra,osmanabad,367158.0,140254.35600000003,22763.796,81509.076,77832.0,24594.912,2179.296,44986.89599999999
maharashtra,solapur,779929.0,230858.98400000003,60834.462,250357.20900000003,376302.0,115901.016,7149.737999999999,229167.918
maharashtra,satara,774522.0,215317.116,41049.666,542939.9219999999,200949.0,41596.443,5425.6230000000005,151515.546
maharashtra,ratnagiri,538538.0,154560.406,22080.058,361897.536,100824.0,16736.784,1915.656,82675.68
maharashtra,sindhudurg,295847.0,81653.772,13608.962,220110.168,44989.0,10707.382,1349.67,39050.452
maharashtra,kolhapur,796496.0,193548.528,15929.92,592593.0240000001,382818.0,84985.59599999999,4593.816,285965.04600000003
maharashtra,sangli,626872.0,171762.928,31970.472,379257.56,226801.0,57380.653,5443.224,175997.57599999997
telangana,adilabad,597466.0,213295.362,38835.29,82450.308,220248.0,51758.28,6166.944,155715.336
telangana,nizamabad,565165.0,179722.47,24302.095,166158.51,155133.0,39403.782,3412.9260000000004,132638.715
telangana,karimnagar,877236.0,284224.464,44739.03599999999,300014.71200000006,288044.0,60489.24,5184.792,243109.13600000003
